,,,,,,,,
القائمة الرئيسية   Main List,,,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List
,,,,,,,,
Table 3: Money Supply,,,,,,,,جدول 3: عــــــرض الـنـقـــــــود 
(Million ﷼),,,,,,,,(مليون ﷼)
نهاية الفترة,,النقد المتداول,الودائع,عرض النقود,الودائع الزمنية,عرض النقود,الودائع الأخرى,عرض النقود
,,خارج المصارف, تحت الطلب,  ن 1     ,والإدخارية,  ن 2     ,*شبه النقدية,  ن 3     
,,Currency,Demand ,Money Supply,Time & Savings,Money Supply,Other Quasi-,Money Supply
End of Period,,Outside Banks,Deposits,M1,Deposits,M2,Money Deposits*,M3
,,1,2, 3=1+2,4,5 = 3 + 4,6,7 = 5 + 6
1994-07-31T00:00:00,,44449.077086,83741.227,128190.30408599999,47046.933999999994,175237.23808599997,57288.35500000001,232525.59308599998
1994-08-31T00:00:00,,43086.088016,83244.798,126330.886016,47025.922999999995,173356.809016,58119.119999999995,231475.929016
1994-09-30T00:00:00,,42144.679086000004,83187.147,125331.826086,48357.727,173689.553086,58549.21799999999,232238.771086
1994-10-31T00:00:00,,43746.897000000004,82731.442,126478.339,49518.496,175996.83500000002,59751.905,235748.74000000002
1994-11-30T00:00:00,,44713.314000000006,81423.201,126136.51500000001,49991.246,176127.761,58109.97,234237.731
1994-12-31T00:00:00,,44965.078410999995,80679.357,125644.435411,51417.119999999995,177061.55541099998,59169.369999999995,236230.92541099997
1995-01-31T00:00:00,,45125.308000000005,79211.39700000001,124336.70500000002,51578.78,175915.48500000002,58942.937999999995,234858.423
1995-02-28T00:00:00,,48007.724,79768.541,127776.265,53809.462,181585.727,58233.449,239819.176
1995-03-31T00:00:00,,46446.280507,82448.977,128895.257507,54625.361999999994,183520.619507,58428.14599999999,241948.76550699997
1995-04-30T00:00:00,,48125.951699,82464.792,130590.743699,54394.064,184984.807699,59791.94200000001,244776.749699
1995-05-31T00:00:00,,47069.917454,83724.515,130794.432454,56178.094,186972.52645399998,57814.83,244787.356454
1995-06-30T00:00:00,,46875.73062,84180.731,131056.46162,56152.393000000004,187208.85462,58201.33499999999,245410.18962
1995-07-31T00:00:00,,45312.5635,82131.866,127444.4295,56693.034,184137.4635,56832.888999999996,240970.3525
1995-08-31T00:00:00,,43123.407998999995,78445.43800000001,121568.84599900001,57233.003000000004,178801.848999,57262.005,236063.853999
1995-09-30T00:00:00,,42715.833,81546.418,124262.251,58436.185,182698.436,57466.812000000005,240165.248
1995-10-31T00:00:00,,42614.90200000001,81136.67000000001,123751.57200000001,58310.67,182062.24200000003,56690.718,238752.96000000002
1995-11-30T00:00:00,,42776.98300000001,81907.78899999999,124684.772,59259.199,183943.971,55191.01299999999,239134.984
