السنة,الربع,الربع ,رقم الربع ,المنطقة,المدينة,الحي,نوع العقار,عدد الصكوك ,مجموع سعر العقار,المساحة M2,متوسط سعر المتر,الحد الأعلى لسعر المتر,الحد الأدنى لسعر المتر 
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الصفوة,قطعة أرض-تجارى,5,6150000,4593.27,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الصوارى,قطعة أرض-تجارى,15,40712763.9,12155.65,3330.14274810705,4000.15,1724.14
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الريان,قطعة أرض-تجارى,7,13850000,4407,3205.25582321322,3500,2745.1
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفيحاء,قطعة أرض-تجارى,3,70495838,10402.43,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفيصلية,قطعة أرض-تجارى,5,34389952.5,5516.14,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفردوس,قطعة أرض-تجارى,4,8130000,2936.75,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الفلاح,قطعة أرض-تجارى,3,7885000,2469,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الاندلس,قطعة أرض-تجارى,1,56271600,2871,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الرحاب,قطعة أرض-تجارى,4,19881500,4606,NULL,NULL,NULL
2024,3,الربع الثالث,20243,مكة المكرمة,جدة,الخليج,قطعة أرض-تجارى,1,1000000,895.5,NULL,NULL,NULL
